,Job Title,company_name,location,URL
0,"
            
        Data Analyst
      
          ","

            RBC
          
","
            Toronto, Ontario, Canada
          ",https://ca.linkedin.com/jobs/view/data-analyst-at-rbc-3077263145?refId=ARVLQoSsTFCTowFIffp3DA%3D%3D&trackingId=MgKYt7UQh70FplmRs95SnQ%3D%3D&position=1&pageNum=0&trk=public_jobs_jserp-result_search-card
1,"
            
        Jr. Data Analyst
      
          ","

            Juniper Park \ TBWA
          
","
            Toronto, Ontario, Canada
          ",https://ca.linkedin.com/jobs/view/jr-data-analyst-at-juniper-park-tbwa-3121284016?refId=ARVLQoSsTFCTowFIffp3DA%3D%3D&trackingId=Gm1S8JwVcAGN7W6g%2FiLSYQ%3D%3D&position=2&pageNum=0&trk=public_jobs_jserp-result_search-card
2,"
            
        Data Analyst - Canadian Tire Corporation
      
          ","

            Canadian Tire Corporation
          
","
            Ontario, Canada
          ",https://ca.linkedin.com/jobs/view/data-analyst-canadian-tire-corporation-at-canadian-tire-corporation-3097302452?refId=ARVLQoSsTFCTowFIffp3DA%3D%3D&trackingId=4dGHjCsN%2BL9gh%2BRcdq%2FDZg%3D%3D&position=3&pageNum=0&trk=public_jobs_jserp-result_search-card
3,"
            
        Data Analyst
      
          ","

            Innolink Staff Oy
          
","
            Toronto, Ontario, Canada
          ",https://ca.linkedin.com/jobs/view/data-analyst-at-innolink-staff-oy-3135285200?refId=ARVLQoSsTFCTowFIffp3DA%3D%3D&trackingId=A0APdzxcPq2Bn3ja1fEZsQ%3D%3D&position=4&pageNum=0&trk=public_jobs_jserp-result_search-card
4,"
            
        Data Analyst (Canada)
      
          ","

            Tiger Analytics
          
","
            Toronto, Ontario, Canada
          ",https://ca.linkedin.com/jobs/view/data-analyst-canada-at-tiger-analytics-3139061441?refId=ARVLQoSsTFCTowFIffp3DA%3D%3D&trackingId=SJsaX4EVCJsJvXtOs7zpjA%3D%3D&position=5&pageNum=0&trk=public_jobs_jserp-result_search-card
5,"
            
        Junior Data Analyst
      
          ","

            Lenovo
          
","
            Markham, Ontario, Canada
          ",https://ca.linkedin.com/jobs/view/junior-data-analyst-at-lenovo-3138370762?refId=ARVLQoSsTFCTowFIffp3DA%3D%3D&trackingId=MWsUKaiLpjmHncY3njQY%2FA%3D%3D&position=6&pageNum=0&trk=public_jobs_jserp-result_search-card
6,"
            
        Risk Data Analyst (New Grad)
      
          ","

            Aston Carter
          
","
            Toronto, Ontario, Canada
          ",https://ca.linkedin.com/jobs/view/risk-data-analyst-new-grad-at-aston-carter-3149153164?refId=ARVLQoSsTFCTowFIffp3DA%3D%3D&trackingId=QrwsidCNlAnp5OOZ7MNASw%3D%3D&position=7&pageNum=0&trk=public_jobs_jserp-result_search-card
7,"
            
        Sr Data Analyst
      
          ","

            Avanciers
          
","
            Toronto, Ontario, Canada
          ",https://ca.linkedin.com/jobs/view/sr-data-analyst-at-avanciers-3147034840?refId=ARVLQoSsTFCTowFIffp3DA%3D%3D&trackingId=TGdMPS7QE3nH7vPb5yiRjA%3D%3D&position=8&pageNum=0&trk=public_jobs_jserp-result_search-card
8,"
            
        Data Analyst - 2022 New Grad
      
          ","

            Jerry
          
","
            Toronto, Ontario, Canada
          ",https://ca.linkedin.com/jobs/view/data-analyst-2022-new-grad-at-jerry-3123934438?refId=ARVLQoSsTFCTowFIffp3DA%3D%3D&trackingId=epn2t3psRrZO7QqVdpY8Ww%3D%3D&position=9&pageNum=0&trk=public_jobs_jserp-result_search-card
9,"
            
        Data Analyst
      
          ","

            Pulse Industrial
          
","
            Waterloo, Ontario, Canada
          ",https://ca.linkedin.com/jobs/view/data-analyst-at-pulse-industrial-3144133009?refId=ARVLQoSsTFCTowFIffp3DA%3D%3D&trackingId=8h%2FlQSpb39ViUEFnokuRww%3D%3D&position=10&pageNum=0&trk=public_jobs_jserp-result_search-card
10,"
            
        Data Analyst - 2022 New Grad
      
          ","

            Jerry
          
","
            Toronto, Ontario, Canada
          ",https://ca.linkedin.com/jobs/view/data-analyst-2022-new-grad-at-jerry-3123933404?refId=ARVLQoSsTFCTowFIffp3DA%3D%3D&trackingId=lHS%2FSHy1xjOaZOTP7IrQ%2Bw%3D%3D&position=11&pageNum=0&trk=public_jobs_jserp-result_search-card
11,"
            
        Data Analyst - Remote
      
          ","

            League
          
","
            Toronto, Ontario, Canada
          ",https://ca.linkedin.com/jobs/view/data-analyst-remote-at-league-3139713170?refId=ARVLQoSsTFCTowFIffp3DA%3D%3D&trackingId=yrj0aXzMO5OllHXWhPagRw%3D%3D&position=12&pageNum=0&trk=public_jobs_jserp-result_search-card
12,"
            
        Data Analyst
      
          ","

            Sun Life
          
","
            Toronto, Ontario, Canada
          ",https://ca.linkedin.com/jobs/view/data-analyst-at-sun-life-3141944349?refId=ARVLQoSsTFCTowFIffp3DA%3D%3D&trackingId=Q%2BL1838owOAXD0MHkUA0TA%3D%3D&position=13&pageNum=0&trk=public_jobs_jserp-result_search-card
13,"
            
        Analyst, Data and Analytics Co-op
      
          ","

            Loblaw Companies Limited
          
","
            Toronto, Ontario, Canada
          ",https://ca.linkedin.com/jobs/view/analyst-data-and-analytics-co-op-at-loblaw-companies-limited-3133550135?refId=ARVLQoSsTFCTowFIffp3DA%3D%3D&trackingId=macW6wH72kfbLwWcUCLAcg%3D%3D&position=14&pageNum=0&trk=public_jobs_jserp-result_search-card
14,"
            
        Junior Data Analyst - AskingCanadians
      
          ","

            Schlesinger Group
          
","
            Toronto, Ontario, Canada
          ",https://ca.linkedin.com/jobs/view/junior-data-analyst-askingcanadians-at-schlesinger-group-3142532502?refId=ARVLQoSsTFCTowFIffp3DA%3D%3D&trackingId=SkrbVbw1iNkx9r%2FfkvmBDA%3D%3D&position=15&pageNum=0&trk=public_jobs_jserp-result_search-card
15,"
            
        Business Data Analyst
      
          ","

            Iris Software Inc.
          
","
            Mississauga, Ontario, Canada
          ",https://ca.linkedin.com/jobs/view/business-data-analyst-at-iris-software-inc-3140300560?refId=ARVLQoSsTFCTowFIffp3DA%3D%3D&trackingId=fXrDtjtUqyJn%2BHoL31osSA%3D%3D&position=16&pageNum=0&trk=public_jobs_jserp-result_search-card
16,"
            
        Data Analyst - 2022 New Grad
      
          ","

            Jerry
          
","
            Ottawa, Ontario, Canada
          ",https://ca.linkedin.com/jobs/view/data-analyst-2022-new-grad-at-jerry-3126013201?refId=ARVLQoSsTFCTowFIffp3DA%3D%3D&trackingId=vcF%2BUfN5ImkQJ%2F5v0u%2FaQw%3D%3D&position=17&pageNum=0&trk=public_jobs_jserp-result_search-card
17,"
            
        Data Analyst - Marketing Science
      
          ","

            Omnicom Media Group
          
","
            Toronto, Ontario, Canada
          ",https://ca.linkedin.com/jobs/view/data-analyst-marketing-science-at-omnicom-media-group-3147068909?refId=ARVLQoSsTFCTowFIffp3DA%3D%3D&trackingId=QNn5rjCnhCwv5sJ5wDMgfA%3D%3D&position=18&pageNum=0&trk=public_jobs_jserp-result_search-card
18,"
            
        Data Analyst
      
          ","

            The Sales Group
          
","
            Greater Toronto Area, Canada
          ",https://ca.linkedin.com/jobs/view/data-analyst-at-the-sales-group-3133001586?refId=ARVLQoSsTFCTowFIffp3DA%3D%3D&trackingId=a4FQ2Sk6ZZ3tpydpRdYxzQ%3D%3D&position=19&pageNum=0&trk=public_jobs_jserp-result_search-card
19,"
            
        Analyst, Data
      
          ","

            Sysco
          
","
            Ottawa, Ontario, Canada
          ",https://ca.linkedin.com/jobs/view/analyst-data-at-sysco-3141713068?refId=ARVLQoSsTFCTowFIffp3DA%3D%3D&trackingId=xMZhyDewfTVf2%2BQfEz7LwQ%3D%3D&position=20&pageNum=0&trk=public_jobs_jserp-result_search-card
20,"
            
        Fuel Data Analyst
      
          ","

            Canadian Tire Corporation
          
","
            Ontario, Canada
          ",https://ca.linkedin.com/jobs/view/fuel-data-analyst-at-canadian-tire-corporation-3124303395?refId=ARVLQoSsTFCTowFIffp3DA%3D%3D&trackingId=qywwVzIkThj%2F50633Ens4w%3D%3D&position=21&pageNum=0&trk=public_jobs_jserp-result_search-card
21,"
            
        Data Analyst
      
          ","

            Daisy Intelligence Corporation
          
","
            Toronto, Ontario, Canada
          ",https://ca.linkedin.com/jobs/view/data-analyst-at-daisy-intelligence-corporation-3140379495?refId=ARVLQoSsTFCTowFIffp3DA%3D%3D&trackingId=KA211jDPTOWldz1A%2FgiWXQ%3D%3D&position=22&pageNum=0&trk=public_jobs_jserp-result_search-card
22,"
            
        Data Analyst - Remote
      
          ","

            League
          
","
            Toronto, Ontario, Canada
          ",https://ca.linkedin.com/jobs/view/data-analyst-remote-at-league-3078739465?refId=ARVLQoSsTFCTowFIffp3DA%3D%3D&trackingId=H8CCMSw8%2FMuJlUPm0O4scw%3D%3D&position=23&pageNum=0&trk=public_jobs_jserp-result_search-card
23,"
            
        Data Analyst
      
          ","

            TouchBistro
          
","
            Toronto, Ontario, Canada
          ",https://ca.linkedin.com/jobs/view/data-analyst-at-touchbistro-3117218640?refId=ARVLQoSsTFCTowFIffp3DA%3D%3D&trackingId=bMM6rde74c3aKnajLWQt7A%3D%3D&position=24&pageNum=0&trk=public_jobs_jserp-result_search-card
24,"
            
        Data Analyst, Revenue
      
          ","

            Rogers Communications
          
","
            Toronto, Ontario, Canada
          ",https://ca.linkedin.com/jobs/view/data-analyst-revenue-at-rogers-communications-3116889112?refId=ARVLQoSsTFCTowFIffp3DA%3D%3D&trackingId=Ml1V9VGAIudtvCd7JH%2B4Mw%3D%3D&position=25&pageNum=0&trk=public_jobs_jserp-result_search-card
